"Notes","Leading Cancer Sites","Leading Cancer Sites Code","State","State Code","Age Group","Age Group Code",Deaths
,"Brain and Other Nervous System","31010-31040","Kentucky","21","45-49 years","45-49",304
,"Brain and Other Nervous System","31010-31040","Kentucky","21","50-54 years","50-54",388
,"Brain and Other Nervous System","31010-31040","Kentucky","21","55-59 years","55-59",570
,"Brain and Other Nervous System","31010-31040","Kentucky","21","60-64 years ","60-64",701
,"Brain and Other Nervous System","31010-31040","Kentucky","21","65-69 years","65-69",671
,"Brain and Other Nervous System","31010-31040","Kentucky","21","70-74 years","70-74",664
,"Brain and Other Nervous System","31010-31040","Kentucky","21","75-79 years","75-79",560
,"Brain and Other Nervous System","31010-31040","Kentucky","21","80-84 years","80-84",363
,"Brain and Other Nervous System","31010-31040","Kentucky","21","85+ years","85+",272
,"Brain and Other Nervous System","31010-31040","Louisiana","22","1-4 years","1-4",34
,"Brain and Other Nervous System","31010-31040","Louisiana","22","5-9 years","5-9",65
,"Brain and Other Nervous System","31010-31040","Louisiana","22","10-14 years","10-14",45
,"Brain and Other Nervous System","31010-31040","Louisiana","22","15-19 years","15-19",43
,"Brain and Other Nervous System","31010-31040","Louisiana","22","20-24 years","20-24",48
,"Brain and Other Nervous System","31010-31040","Louisiana","22","25-29 years","25-29",53
,"Brain and Other Nervous System","31010-31040","Louisiana","22","30-34 years","30-34",73
,"Brain and Other Nervous System","31010-31040","Louisiana","22","35-39 years","35-39",115
,"Brain and Other Nervous System","31010-31040","Louisiana","22","40-44 years","40-44",164
,"Brain and Other Nervous System","31010-31040","Louisiana","22","45-49 years","45-49",236
,"Brain and Other Nervous System","31010-31040","Louisiana","22","50-54 years","50-54",350
,"Brain and Other Nervous System","31010-31040","Louisiana","22","55-59 years","55-59",531
,"Brain and Other Nervous System","31010-31040","Louisiana","22","60-64 years ","60-64",591
,"Brain and Other Nervous System","31010-31040","Louisiana","22","65-69 years","65-69",583
,"Brain and Other Nervous System","31010-31040","Louisiana","22","70-74 years","70-74",582
,"Brain and Other Nervous System","31010-31040","Louisiana","22","75-79 years","75-79",536
,"Brain and Other Nervous System","31010-31040","Louisiana","22","80-84 years","80-84",414
,"Brain and Other Nervous System","31010-31040","Louisiana","22","85+ years","85+",321
,"Brain and Other Nervous System","31010-31040","Maine","23","15-19 years","15-19",16
,"Brain and Other Nervous System","31010-31040","Maine","23","25-29 years","25-29",26
,"Brain and Other Nervous System","31010-31040","Maine","23","30-34 years","30-34",28
,"Brain and Other Nervous System","31010-31040","Maine","23","35-39 years","35-39",35
,"Brain and Other Nervous System","31010-31040","Maine","23","40-44 years","40-44",63
,"Brain and Other Nervous System","31010-31040","Maine","23","45-49 years","45-49",91
,"Brain and Other Nervous System","31010-31040","Maine","23","50-54 years","50-54",159
,"Brain and Other Nervous System","31010-31040","Maine","23","55-59 years","55-59",203
,"Brain and Other Nervous System","31010-31040","Maine","23","60-64 years ","60-64",254
,"Brain and Other Nervous System","31010-31040","Maine","23","65-69 years","65-69",269
,"Brain and Other Nervous System","31010-31040","Maine","23","70-74 years","70-74",240
,"Brain and Other Nervous System","31010-31040","Maine","23","75-79 years","75-79",235
,"Brain and Other Nervous System","31010-31040","Maine","23","80-84 years","80-84",158
,"Brain and Other Nervous System","31010-31040","Maine","23","85+ years","85+",144
,"Brain and Other Nervous System","31010-31040","Maryland","24","1-4 years","1-4",41
,"Brain and Other Nervous System","31010-31040","Maryland","24","5-9 years","5-9",84
,"Brain and Other Nervous System","31010-31040","Maryland","24","10-14 years","10-14",53
,"Brain and Other Nervous System","31010-31040","Maryland","24","15-19 years","15-19",60
,"Brain and Other Nervous System","31010-31040","Maryland","24","20-24 years","20-24",35
,"Brain and Other Nervous System","31010-31040","Maryland","24","25-29 years","25-29",55
,"Brain and Other Nervous System","31010-31040","Maryland","24","30-34 years","30-34",91
,"Brain and Other Nervous System","31010-31040","Maryland","24","35-39 years","35-39",166
,"Brain and Other Nervous System","31010-31040","Maryland","24","40-44 years","40-44",223
,"Brain and Other Nervous System","31010-31040","Maryland","24","45-49 years","45-49",302
,"Brain and Other Nervous System","31010-31040","Maryland","24","50-54 years","50-54",475
,"Brain and Other Nervous System","31010-31040","Maryland","24","55-59 years","55-59",675
,"Brain and Other Nervous System","31010-31040","Maryland","24","60-64 years ","60-64",687
,"Brain and Other Nervous System","31010-31040","Maryland","24","65-69 years","65-69",658
,"Brain and Other Nervous System","31010-31040","Maryland","24","70-74 years","70-74",676
,"Brain and Other Nervous System","31010-31040","Maryland","24","75-79 years","75-79",586
,"Brain and Other Nervous System","31010-31040","Maryland","24","80-84 years","80-84",445
,"Brain and Other Nervous System","31010-31040","Maryland","24","85+ years","85+",355
